iteration, time, numNodes, f, descent norm (L2), descent norm (L1), descent norm (L∞), max curvature
1, 88, 90, 199.519, 1.75133, 24.8541, 0.180304, 10.4443
2, 41, 96, 191.939, 0.974135, 11.7499, 0.180974, 9.37306
3, 42, 143, 165.599, 0.863773, 9.21841, 0.168241, 11.2209
4, 50, 162, 142.848, 1.14685, 14.6996, 0.178125, 10.9657
5, 55, 197, 133.563, 1.0306, 11.6551, 0.183769, 11.6244
6, 63, 253, 115.595, 1.12383, 14.6859, 0.182774, 14.8988
7, 69, 275, 86.8618, 0.557258, 8.48906, 0.0918944, 14.4588
8, 77, 312, 74.3743, 0.532919, 8.22348, 0.0934198, 15.8563
9, 97, 392, 65.5043, 1.10652, 17.9181, 0.186735, 15.9068
10, 105, 462, 50.1358, 1.05176, 18.8456, 0.186817, 16.1513
11, 119, 525, 43.1644, 1.00875, 18.2325, 0.179876, 16.636
12, 132, 576, 37.8537, 0.935012, 16.6188, 0.170829, 14.2329
13, 141, 622, 33.7832, 0.809146, 13.9268, 0.143873, 17.8688
14, 149, 666, 31.1307, 0.726065, 12.1588, 0.146134, 16.4088
15, 156, 688, 28.6629, 0.538964, 9.99992, 0.124353, 15.5757
16, 166, 707, 27.0252, 0.371765, 7.2548, 0.104889, 15.7258
17, 176, 722, 25.9234, 0.27599, 5.96211, 0.0699833, 16.4474
18, 183, 726, 25.2416, 0.239504, 5.20903, 0.0778825, 14.1992
19, 169, 734, 24.8145, 0.196673, 4.46525, 0.0549097, 13.8119
20, 167, 737, 24.4474, 0.170856, 4.1592, 0.0339396, 14.5138
21, 166, 746, 24.2186, 0.168155, 4.05578, 0.0304473, 14.22
22, 178, 759, 23.8932, 0.155916, 3.91686, 0.0268715, 16.458
23, 176, 763, 23.5401, 0.148904, 3.7297, 0.027587, 14.5086
24, 182, 764, 23.2872, 0.133959, 3.38995, 0.0258269, 15.2486
25, 171, 769, 23.1234, 0.11492, 3.02885, 0.0273874, 16.996
26, 172, 778, 22.8995, 0.118582, 3.00702, 0.0319544, 15.2411
27, 180, 787, 22.6357, 0.122655, 3.1662, 0.0208478, 15.7534
28, 176, 788, 22.4281, 0.123259, 3.24644, 0.0225346, 13.3307
29, 185, 790, 22.2931, 0.112345, 3.06201, 0.0236164, 14.1407
30, 178, 795, 22.1636, 0.103922, 2.79577, 0.0234562, 13.2514
31, 183, 795, 22.0273, 0.0997502, 2.71134, 0.0162631, 13.2548
32, 218, 797, 21.9344, 0.0964692, 2.62363, 0.024321, 14.0569
33, 250, 799, 21.8197, 0.0985618, 2.59137, 0.0213734, 14.654
34, 199, 805, 21.7337, 0.0945334, 2.48418, 0.0203986, 15.2729
35, 190, 810, 21.582, 0.105118, 2.56459, 0.0284482, 14.3872
36, 202, 811, 21.4314, 0.0989295, 2.60736, 0.019866, 13.262
37, 194, 810, 21.3574, 0.0904711, 2.50791, 0.0159663, 15.5053
38, 194, 818, 21.2809, 0.0898742, 2.41006, 0.0207652, 14.0664
39, 197, 821, 21.1205, 0.100027, 2.54642, 0.0236393, 14.0142
40, 184, 820, 21.0154, 0.0961835, 2.52016, 0.0310838, 14.3456
41, 183, 820, 20.972, 0.0830102, 2.38221, 0.0209281, 14.7032
42, 179, 821, 20.9077, 0.0907086, 2.43496, 0.020375, 14.0485
43, 179, 823, 20.8525, 0.0942227, 2.43402, 0.0233068, 14.2631
44, 178, 829, 20.7821, 0.080866, 2.31745, 0.0141033, 14.9112
45, 176, 829, 20.6013, 0.0900896, 2.36971, 0.0216119, 13.8397
46, 180, 828, 20.5103, 0.0763737, 2.15811, 0.0178482, 14.4877
47, 183, 832, 20.4823, 0.0768127, 2.12522, 0.0178917, 14.3105
48, 181, 835, 20.4073, 0.0803838, 2.19938, 0.0134131, 13.5343
49, 204, 835, 20.351, 0.0779696, 2.16098, 0.0165081, 13.9977
50, 189, 836, 20.3425, 0.0712267, 2.08275, 0.0185956, 14.6722
51, 190, 837, 20.2736, 0.0918025, 2.24774, 0.02626, 13.9148
52, 185, 840, 20.2602, 0.103549, 2.49496, 0.0258543, 16.1393
53, 191, 842, 20.1371, 0.0880867, 2.31367, 0.0237084, 15.4242
54, 183, 843, 20.0662, 0.0839814, 2.25927, 0.0189418, 15.1859
55, 190, 844, 20.0049, 0.0779021, 2.16429, 0.0154714, 14.4448
56, 187, 846, 19.943, 0.080293, 2.09863, 0.0250304, 14.9804
